shape1,shape2,iou,clip,color,edge,hash
Alabama,Afghanistan,0.639855,0.639855,0.846819,0.101027,0.53125
Aland,Afghanistan,0.634806,0.634806,0.564703,0.051531,0.53125
Alaska,Afghanistan,0.616156,0.616156,0.341865,0.03052,0.53125
Albania,Afghanistan,0.646634,0.646634,0.443554,0.182523,0.5
American Samoa,Afghanistan,0.656316,0.656316,0.832273,0.046301,0.625
Andorra,Afghanistan,0.591128,0.591128,0.559683,0.310164,0.6875
Angola,Afghanistan,0.662238,0.662238,0.799025,0.125363,0.59375
Antigua and Barbuda,Afghanistan,0.67712,0.67712,0.759983,0.060998,0.5
Argentina,Afghanistan,0.661456,0.661456,0.716101,0.156022,0.40625
Arizona,Afghanistan,0.558873,0.558873,0.457561,0.079511,0.53125
Arkansas,Afghanistan,0.542703,0.542703,0.634194,0.130808,0.59375
Armenia,Afghanistan,0.659656,0.659656,0.774715,0.021495,0.515625
Aruba,Afghanistan,0.653823,0.653823,0.444981,0.090668,0.53125
Australia,Afghanistan,0.613105,0.613105,0.741767,0.05785,0.46875
Austria,Afghanistan,0.656437,0.656437,0.693172,0.108478,0.5
Azerbaijan,Afghanistan,0.682067,0.682067,0.781003,0.112575,0.59375
Bahrain,Afghanistan,0.684475,0.684475,0.738225,0.026499,0.453125
Bangladesh,Afghanistan,0.743147,0.743147,0.56541,0.015148,0.59375
Belarus,Afghanistan,0.773346,0.773346,0.741456,0.010564,0.5
Belgium,Afghanistan,0.636148,0.636148,0.638728,0.314512,0.65625
Benin,Afghanistan,0.682218,0.682218,0.579943,0.066297,0.5
Bermuda,Afghanistan,0.618282,0.618282,0.757333,0.060485,0.375
Bolivia,Afghanistan,0.683635,0.683635,0.558129,0.070037,0.5
Brazil,Afghanistan,0.54177,0.54177,0.001866,0.121425,0.15625
British Indian Ocean Territory,Afghanistan,0.543564,0.543564,0.865748,0.099316,0.59375
Bulgaria,Afghanistan,0.764409,0.764409,0.808918,0.008178,0.5
Burkina Faso,Afghanistan,0.697385,0.697385,0.521727,0.197033,0.71875
Burundi,Afghanistan,0.710845,0.710845,0.814406,0.061012,0.5625
Cabo Verde,Afghanistan,0.626584,0.626584,0.674235,0.125695,0.5
Cambodia,Afghanistan,0.603396,0.603396,0.637836,0.361141,0.5625
Cameroon,Afghanistan,0.65807,0.65807,0.583834,0.351991,0.84375
Canada,Afghanistan,0.577766,0.577766,0.926205,0.100376,0.4375
Cayman Islands,Afghanistan,0.631298,0.631298,0.741929,0.052145,0.3125
Central African Republic,Afghanistan,0.672802,0.672802,0.779326,0.103894,0.53125
Chile,Afghanistan,0.678499,0.678499,0.758468,0.200073,0.53125
China,Afghanistan,0.642469,0.642469,0.406731,0.10997,0.5
Colombia,Afghanistan,0.651537,0.651537,0.5622,0.156984,0.484375
Colorado,Afghanistan,0.547561,0.547561,0.680856,0.071379,0.59375
Comoros,Afghanistan,0.7132,0.7132,0.807186,0.031534,0.375
Connecticut,Afghanistan,0.639804,0.639804,0.464797,0.183485,0.5625
Cook Islands,Afghanistan,0.614031,0.614031,0.733734,0.086707,0.4375
Croatia,Afghanistan,0.503204,0.503204,0.908121,0.243315,0.59375
Cuba,Afghanistan,0.648156,0.648156,0.828417,0.085964,0.53125
Curaao,Afghanistan,0.685744,0.685744,0.451675,0.016581,0.59375
Cyprus,Afghanistan,0.661164,0.661164,0.891968,0.103352,0.53125
Czechia,Afghanistan,0.637914,0.637914,0.793277,0.116382,0.53125
Delaware,Afghanistan,0.594715,0.594715,0.495682,0.282616,0.5
Democratic Republic of the Congo,Afghanistan,0.672493,0.672493,0.37385,0.056852,0.46875
Denmark,Afghanistan,0.614004,0.614004,0.518633,0.027411,0.5
District of Columbia,Afghanistan,0.59419,0.59419,0.865265,0.06174,0.5
Djibouti,Afghanistan,0.728774,0.728774,0.748291,0.043006,0.53125
East Timor,Afghanistan,0.728341,0.728341,0.748507,0.029082,0.625
Egypt,Afghanistan,0.655853,0.655853,0.85787,0.232888,0.34375
El Salvador,Afghanistan,0.726012,0.726012,0.756675,0.114464,0.15625
Equatorial Guinea,Afghanistan,0.787995,0.787995,0.766852,0.206701,0.5625
Eritrea,Afghanistan,0.726047,0.726047,0.783054,0.057994,0.46875
Estonia,Afghanistan,0.618326,0.618326,0.862083,0.067233,0.5
eSwatini,Afghanistan,0.650652,0.650652,0.691073,0.115043,0.34375
Federated States of Micronesia,Afghanistan,0.683936,0.683936,0.609951,0.085682,0.5625
Finland,Afghanistan,0.616969,0.616969,0.852543,0.021916,0.53125
Florida,Afghanistan,0.62303,0.62303,0.852968,0.370895,0.53125
France,Afghanistan,0.6161,0.6161,0.777411,0.42559,0.625
French Polynesia,Afghanistan,0.642206,0.642206,0.778517,0.286194,0.34375
French Southern and Antarctic Lands,Afghanistan,0.627657,0.627657,0.519487,0.052559,0.53125
Georgia,Afghanistan,0.575747,0.575747,0.935384,0.127669,0.4375
Georgia (state),Afghanistan,0.618419,0.618419,0.728404,0.04441,0.5625
Germany,Afghanistan,0.606293,0.606293,0.891477,0.076856,0.5
Ghana,Afghanistan,0.655743,0.655743,0.608497,0.194235,0.25
Gibraltar,Afghanistan,0.648151,0.648151,0.863802,0.179078,0.5
Greece,Afghanistan,0.612452,0.612452,0.766726,0.070439,0.5625
Greenland,Afghanistan,0.645402,0.645402,0.80052,0.064892,0.6875
Grenada,Afghanistan,0.656486,0.656486,0.681652,0.060446,0.46875
Guam,Afghanistan,0.645704,0.645704,0.655693,0.161707,0.59375
Guatemala,Afghanistan,0.687764,0.687764,0.714572,0.479389,0.53125
Guernsey,Afghanistan,0.555135,0.555135,0.86385,0.178649,0.484375
Guinea-Bissau,Afghanistan,0.699768,0.699768,0.777446,0.159124,0.4375
Hawaii,Afghanistan,0.586569,0.586569,0.844473,0.044448,0.5625
Heard Island and McDonald Islands,Afghanistan,0.613115,0.613115,0.741836,0.057295,0.46875
Honduras,Afghanistan,0.700333,0.700333,0.796208,0.080333,0.625
Hong Kong SAR,Afghanistan,0.642469,0.642469,0.406731,0.10997,0.5
Iceland,Afghanistan,0.633485,0.633485,0.564352,0.03789,0.5
Illinois,Afghanistan,0.595699,0.595699,0.893671,0.267223,0.46875
India,Afghanistan,0.633626,0.633626,0.769315,0.150973,0.625
Indiana,Afghanistan,0.526596,0.526596,0.422165,0.134649,0.53125
Indonesia,Afghanistan,0.668484,0.668484,0.797847,0.156984,0.546875
Iowa,Afghanistan,0.569995,0.569995,0.820629,0.182531,0.4375
Iran,Afghanistan,0.747387,0.747387,0.906107,0.162534,0.40625
Iraq,Afghanistan,0.676971,0.676971,0.85758,0.202578,0.46875
Ireland,Afghanistan,0.609596,0.609596,0.842147,0.316042,0.59375
Italy,Afghanistan,0.69925,0.69925,0.777267,0.463719,0.546875
Jamaica,Afghanistan,0.62925,0.62925,0.836695,0.070723,0.53125
Japan,Afghanistan,0.634806,0.634806,0.885058,0.123183,0.65625
Jersey,Afghanistan,0.582121,0.582121,0.879539,0.099777,0.53125
Kansas,Afghanistan,0.564861,0.564861,0.559847,0.25491,0.53125
Kazakhstan,Afghanistan,0.746984,0.746984,0.664118,0.204974,0.46875
Kentucky,Afghanistan,0.660238,0.660238,0.649374,0.299758,0.375
Kenya,Afghanistan,0.625107,0.625107,0.997339,0.168741,0.625
Kosovo,Afghanistan,0.590251,0.590251,0.803653,0.210106,0.53125
Kuwait,Afghanistan,0.779959,0.779959,0.857582,0.025267,0.53125
Kyrgyzstan,Afghanistan,0.691753,0.691753,0.529501,0.290206,0.59375
Laos,Afghanistan,0.657882,0.657882,0.595768,0.204933,0.65625
Latvia,Afghanistan,0.679601,0.679601,0.741094,0.065905,0.5
Lebanon,Afghanistan,0.689335,0.689335,0.784462,0.189226,0.28125
Lesotho,Afghanistan,0.657754,0.657754,0.807836,0.242497,0.375
Liberia,Afghanistan,0.658583,0.658583,0.837369,0.049442,0.5
Libya,Afghanistan,0.727032,0.727032,0.868691,0.128922,0.625
Louisiana,Afghanistan,0.637319,0.637319,0.572793,0.244166,0.5625
Luxembourg,Afghanistan,0.649579,0.649579,0.808222,0.057057,0.5
Madagascar,Afghanistan,0.765369,0.765369,0.778349,0.283651,0.3125
Maine,Afghanistan,0.626644,0.626644,0.445804,0.294214,0.5625
Maldives,Afghanistan,0.758264,0.758264,0.50773,0.187452,0.640625
Mali,Afghanistan,0.676716,0.676716,0.583076,0.46394,0.5
Malta,Afghanistan,0.661604,0.661604,0.796243,0.097553,0.5
Marshall Islands,Afghanistan,0.671657,0.671657,0.718932,0.068725,0.46875
Maryland,Afghanistan,0.53161,0.53161,0.839912,0.195724,0.5625
Mauritania,Afghanistan,0.72254,0.72254,0.514071,0.181358,0.5
Mauritius,Afghanistan,0.660534,0.660534,0.631007,0.099243,0.546875
Michigan,Afghanistan,0.643732,0.643732,0.492332,0.214919,0.625
Minnesota,Afghanistan,0.679602,0.679602,0.564759,0.322107,0.4375
Mississippi,Afghanistan,0.607885,0.607885,0.709868,0.053577,0.625
Moldova,Afghanistan,0.672932,0.672932,0.784788,0.386175,0.5
Monaco,Afghanistan,0.660854,0.660854,0.743329,0.014238,0.546875
Mongolia,Afghanistan,0.660877,0.660877,0.736869,0,0.4375
Montana,Afghanistan,0.602242,0.602242,0.460861,0.23782,0.46875
Montenegro,Afghanistan,0.659647,0.659647,0.709533,0.252313,0.75
Montserrat,Afghanistan,0.628304,0.628304,0.742112,0.046962,0.34375
Morocco,Afghanistan,0.67576,0.67576,0.402142,0,0.1875
Mozambique,Afghanistan,0.682284,0.682284,0.777931,0.134978,0.5
Myanmar,Afghanistan,0.687664,0.687664,0.673649,0.197974,0.65625
Namibia,Afghanistan,0.692978,0.692978,0.653382,0.129896,0.53125
Nauru,Afghanistan,0.691553,0.691553,0.669712,0.074029,0.46875
Nebraska,Afghanistan,0.622849,0.622849,0.584863,0.272163,0.5
Netherlands,Afghanistan,0.604655,0.604655,0.775841,0,0.5
Nevada,Afghanistan,0.674259,0.674259,0.416537,0.102374,0.5
New Caledonia,Afghanistan,0.688614,0.688614,0.803223,0.076276,0.5625
New Hampshire,Afghanistan,0.689527,0.689527,0.487415,0.2966,0.625
New Jersey,Afghanistan,0.61269,0.61269,0.443539,0.284283,0.3125
New Mexico,Afghanistan,0.595074,0.595074,0.410653,0.312113,0.390625
New York,Afghanistan,0.678468,0.678468,0.706713,0.258154,0.34375
New Zealand,Afghanistan,0.684694,0.684694,0.712878,0.064018,0.4375
Nicaragua,Afghanistan,0.701041,0.701041,0.73838,0.140182,0.1875
Niue,Afghanistan,0.599098,0.599098,0.727562,0.050011,0.625
Norfolk Island,Afghanistan,0.674857,0.674857,0.791897,0.211991,0.40625
North Carolina,Afghanistan,0.598516,0.598516,0.793614,0.234185,0.78125
North Korea,Afghanistan,0.611421,0.611421,0.769361,0.049851,0.46875
North Macedonia,Afghanistan,0.601645,0.601645,0.866868,0.086402,0.46875
Northern Mariana Islands,Afghanistan,0.54399,0.54399,0.732696,0.130083,0.53125
Norway,Afghanistan,0.63654,0.63654,0.574404,0.088671,0.46875
Ohio,Afghanistan,0.547672,0.547672,0.855511,0.051906,0.46875
Oklahoma,Afghanistan,0.503981,0.503981,0.459796,0.237904,0.5625
Oman,Afghanistan,0.750364,0.750364,0.883205,0.013911,0.4375
Oregon,Afghanistan,0.633126,0.633126,0.54854,0.338736,0.625
Pakistan,Afghanistan,0.764931,0.764931,0.683584,0.105765,0.53125
Palau,Afghanistan,0.710214,0.710214,0.513426,0.044455,0.5625
Palestine,Afghanistan,0.748258,0.748258,0.872825,0.039267,0.625
Papua New Guinea,Afghanistan,0.650759,0.650759,0.786579,0.075989,0.5625
Paraguay,Afghanistan,0.604371,0.604371,0.827163,0.148489,0.40625
Pennsylvania,Afghanistan,0.677285,0.677285,0.510158,0.27521,0.5
Peru,Afghanistan,0.69569,0.69569,0.696037,0.401878,0.546875
Philippines,Afghanistan,0.649983,0.649983,0.806818,0.035928,0.46875
Pitcairn Islands,Afghanistan,0.62367,0.62367,0.749762,0.070536,0.28125
Portugal,Afghanistan,0.601565,0.601565,0.87523,0.268135,0.75
Puerto Rico,Afghanistan,0.664739,0.664739,0.873879,0.112147,0.46875
Qatar,Afghanistan,0.648422,0.648422,0.397157,0.042282,0.5
Republic of the Congo,Afghanistan,0.642073,0.642073,0.586669,0.047911,0.625
Russia,Afghanistan,0.639047,0.639047,0.77961,0.14586,0.5
Saint Lucia,Afghanistan,0.628135,0.628135,0.6907,0.12978,0.5
Saint Pierre and Miquelon,Afghanistan,0.635894,0.635894,0.735848,0.194599,0.5
Saint Vincent and the Grenadines,Afghanistan,0.6226,0.6226,0.578711,0.2081,0.4375
San Marino,Afghanistan,0.704072,0.704072,0.77782,0.313839,0.5
Saudi Arabia,Afghanistan,0.633539,0.633539,0.461065,0.216886,0.46875
Senegal,Afghanistan,0.650958,0.650958,0.583639,0.47676,0.5625
Seychelles,Afghanistan,0.692983,0.692983,0.837077,0.033441,0.5
Sierra Leone,Afghanistan,0.684668,0.684668,0.774619,0.14586,0.5
Singapore,Afghanistan,0.658172,0.658172,0.812498,0.103952,0.59375
Sint Maarten,Afghanistan,0.604655,0.604655,0.775841,0,0.5
Slovakia,Afghanistan,0.565181,0.565181,0.77927,0.082882,0.59375
Solomon Islands,Afghanistan,0.684526,0.684526,0.761976,0.064877,0.5625
Somalia,Afghanistan,0.64827,0.64827,0.436805,0.177855,0.6875
South Africa,Afghanistan,0.62201,0.62201,0.760718,0.065097,0.5625
South Carolina,Afghanistan,0.621582,0.621582,0.482008,0.199375,0.46875
South Dakota,Afghanistan,0.615486,0.615486,0.528864,0.262026,0.46875
South Korea,Afghanistan,0.589262,0.589262,0.892043,0.093389,0.34375
Sri Lanka,Afghanistan,0.691607,0.691607,0.779476,0.095318,0.4375
Suriname,Afghanistan,0.695823,0.695823,0.706769,0.135186,0.875
Switzerland,Afghanistan,0.577702,0.577702,0.478128,0.082748,0.5
Syria,Afghanistan,0.595729,0.595729,0.858539,0.069569,0.5625
Taiwan,Afghanistan,0.697,0.697,0.49837,0.019908,0.46875
Tajikistan,Afghanistan,0.713429,0.713429,0.982039,0.149312,0.28125
Tennessee,Afghanistan,0.584204,0.584204,0.799588,0.142783,0.6875
Texas,Afghanistan,0.587321,0.587321,0.791612,0.177892,0.4375
Thailand,Afghanistan,0.624549,0.624549,0.777021,0.103507,0.5
The Bahamas,Afghanistan,0.656552,0.656552,0.797552,0.05298,0.671875
Tonga,Afghanistan,0.658533,0.658533,0.886592,0.013881,0.46875
Trinidad and Tobago,Afghanistan,0.689781,0.689781,0.727787,0.089847,0.59375
Tunisia,Afghanistan,0.639933,0.639933,0.48455,0.20962,0.65625
Turkey,Afghanistan,0.634884,0.634884,0.452965,0.174889,0.53125
Turkmenistan,Afghanistan,0.683184,0.683184,0.464903,0.012646,0.4375
Turks and Caicos Islands,Afghanistan,0.596803,0.596803,0.728597,0.052236,0.375
Tuvalu,Afghanistan,0.551529,0.551529,0.74341,0.057386,0.53125
Uganda,Afghanistan,0.565184,0.565184,0.875381,0.192789,0.84375
Ukraine,Afghanistan,0.689899,0.689899,0.513361,0.156984,0.546875
United Arab Emirates,Afghanistan,0.798661,0.798661,0.914858,0.036443,0.53125
United Kingdom,Afghanistan,0.58548,0.58548,0.84527,0.073397,0.59375
United Republic of Tanzania,Afghanistan,0.642578,0.642578,0.778104,0.084595,0.4375
United States of America,Afghanistan,0.628475,0.628475,0.842921,0.057504,0.53125
United States Virgin Islands,Afghanistan,0.592744,0.592744,0.885699,0.229374,0.53125
Uruguay,Afghanistan,0.672414,0.672414,0.849461,0.109838,0.46875
Utah,Afghanistan,0.641088,0.641088,0.554211,0.331949,0.59375
Uzbekistan,Afghanistan,0.792269,0.792269,0.847484,0.029202,0.5625
Vanuatu,Afghanistan,0.646329,0.646329,0.799025,0.053988,0.59375
Vatican,Afghanistan,0.499262,0.499262,0.60196,0.069057,0.53125
Venezuela,Afghanistan,0.634933,0.634933,0.596182,0.165639,0.4375
Vietnam,Afghanistan,0.655053,0.655053,7.30E-05,0.123529,0.46875
Washington,Afghanistan,0.657855,0.657855,0.593623,0.208921,0.59375
West Virginia,Afghanistan,0.716758,0.716758,0.874979,0.291574,0.4375
Western Sahara,Afghanistan,0.7418,0.7418,0.871875,0.120668,0.59375
Zambia,Afghanistan,0.711021,0.711021,0.538186,0.06179,0.53125
Zimbabwe,Afghanistan,0.627269,0.627269,0.845302,0.097967,0.46875
Andorra,Alabama,0.612702,0.612702,0.593641,0.038366,0.59375
Argentina,Alabama,0.667621,0.667621,0.759114,0.039561,0.65625
Arizona,Alabama,0.682848,0.682848,0.486119,0.05357,0.5
Arkansas,Alabama,0.722503,0.722503,0.673774,0.036364,0.5
Armenia,Alabama,0.712955,0.712955,0.821418,0.028369,0.484375
Aruba,Alabama,0.730043,0.730043,0.47195,0.246387,0.46875
Bahrain,Alabama,0.677397,0.677397,0.782539,0.020194,0.484375
Bangladesh,Alabama,0.683019,0.683019,0.599553,0.018486,0.59375
Belarus,Alabama,0.71211,0.71211,0.78605,0.022967,0.59375
Benin,Alabama,0.69875,0.69875,0.615093,0.003328,0.59375
Burkina Faso,Alabama,0.649284,0.649284,0.552506,0.334761,0.4375
Cambodia,Alabama,0.633426,0.633426,0.676445,0.043585,0.40625
Cayman Islands,Alabama,0.756321,0.756321,0.786517,0.052049,0.46875
Central African Republic,Alabama,0.75311,0.75311,0.826266,0.217233,0.53125
Chile,Alabama,0.729137,0.729137,0.80311,0.276797,0.59375
China,Alabama,0.64575,0.64575,0.429206,0.249769,0.4375
District of Columbia,Alabama,0.692204,0.692204,0.917044,0.023857,0.59375
East Timor,Alabama,0.73812,0.73812,0.792463,0.035899,0.34375
Guam,Alabama,0.677451,0.677451,0.69519,0.040106,0.5625
Iceland,Alabama,0.733069,0.733069,0.598126,0.039103,0.4375
India,Alabama,0.627377,0.627377,0.815535,0.021295,0.65625
Iran,Alabama,0.567706,0.567706,0.886374,0.054877,0.59375
Italy,Alabama,0.731857,0.731857,0.823966,0.283942,0.484375
Japan,Alabama,0.728348,0.728348,0.982934,0.328676,0.53125
Kuwait,Alabama,0.693535,0.693535,0.909062,0.036234,0.46875
Lebanon,Alabama,0.739573,0.739573,0.831532,0.230178,0.53125
Lesotho,Alabama,0.669411,0.669411,0.856326,0.304475,0.5
Luxembourg,Alabama,0.790019,0.790019,0.85673,0.024775,0.5
Marshall Islands,Alabama,0.740132,0.740132,0.762142,0.045035,0.46875
Mississippi,Alabama,0.833806,0.833806,0.753656,0.028548,0.5
Netherlands,Alabama,0.789691,0.789691,0.822459,0,0.5
North Korea,Alabama,0.671336,0.671336,0.815613,0.058319,0.5
Qatar,Alabama,0.69382,0.69382,0.421239,0.003468,0.53125
Republic of the Congo,Alabama,0.683997,0.683997,0.621435,0.125318,0.53125
Russia,Alabama,0.707203,0.707203,0.825813,0.407391,0.5
Seychelles,Alabama,0.736785,0.736785,0.887114,0.035417,0.46875
Solomon Islands,Alabama,0.714404,0.714404,0.807811,0.043369,0.53125
Somalia,Alabama,0.716361,0.716361,0.463238,0.33079,0.5
South Carolina,Alabama,0.796189,0.796189,0.511143,0.041961,0.5
Tajikistan,Alabama,0.693504,0.693504,0.910526,0.043594,0.53125
Trinidad and Tobago,Alabama,0.765778,0.765778,0.771487,0.035268,0.53125
United Kingdom,Alabama,0.745885,0.745885,0.895948,0.047022,0.53125
United Republic of Tanzania,Alabama,0.665736,0.665736,0.824902,0.03129,0.5625
United States Virgin Islands,Alabama,0.683993,0.683993,0.938719,0.18757,0.46875
Vatican,Alabama,0.623984,0.623984,0.636746,0.065219,0.65625
Venezuela,Alabama,0.608638,0.608638,0.632311,0.274056,0.40625
West Virginia,Alabama,0.753471,0.753471,0.927237,0.063645,0.5
Zambia,Alabama,0.72082,0.72082,0.570519,0.239517,0.46875
Alabama,Aland,0.762188,0.762188,0.598905,0.033129,0.53125
Alaska,Aland,0.740161,0.740161,0.24124,0,0.5625
Andorra,Aland,0.734107,0.734107,0.609287,0.073149,0.5625
Angola,Aland,0.748616,0.748616,0.56507,0.172788,0.5625
Argentina,Aland,0.709961,0.709961,0.506251,0.030816,0.5625
Arizona,Aland,0.73236,0.73236,0.448733,0.094531,0.59375
Arkansas,Aland,0.604427,0.604427,0.448515,0.055041,0.46875
Armenia,Aland,0.795297,0.795297,0.548429,0.019406,0.484375
Aruba,Aland,0.787271,0.787271,0.31613,0.028428,0.375
Australia,Aland,0.710336,0.710336,0.51168,0.054772,0.46875
Azerbaijan,Aland,0.631429,0.631429,0.552055,0.000429,0.5
Bahrain,Aland,0.638071,0.638071,0.521951,0.03397,0.453125
Bangladesh,Aland,0.625768,0.625768,0.399409,0.036146,0.5625
Belarus,Aland,0.747966,0.747966,0.524089,0.013912,0.59375
Benin,Aland,0.769208,0.769208,0.409429,0.009107,0.4375
Brazil,Aland,0.68161,0.68161,0.043081,0.048775,0.5625
Burkina Faso,Aland,0.692834,0.692834,0.367768,0.031018,0.53125
Cambodia,Aland,0.644573,0.644573,0.450616,0.087969,0.46875
Canada,Aland,0.684748,0.684748,0.572032,0.039062,0.5625
Cayman Islands,Aland,0.712684,0.712684,0.524475,0.062456,0.4375
Central African Republic,Aland,0.781469,0.781469,0.671039,0.035746,0.53125
Chile,Aland,0.717805,0.717805,0.535591,0.113624,0.46875
China,Aland,0.674073,0.674073,0.29145,0.163996,0.5
Colombia,Aland,0.764859,0.764859,0.396906,0.018709,0.515625
Comoros,Aland,0.723669,0.723669,0.570533,0.034989,0.46875
Cook Islands,Aland,0.746797,0.746797,0.518704,0.058413,0.53125
Croatia,Aland,0.649857,0.649857,0.595735,0.048375,0.53125
Cuba,Aland,0.6618,0.6618,0.585813,0.033952,0.59375
Curaao,Aland,0.820257,0.820257,0.318902,0.017175,0.5
Democratic Republic of the Congo,Aland,0.740594,0.740594,0.856842,0.022656,0.59375
Denmark,Aland,0.881093,0.881093,0.367167,0.005052,0.6875
District of Columbia,Aland,0.568826,0.568826,0.61206,0.020711,0.53125
Djibouti,Aland,0.717798,0.717798,0.528912,0.156328,0.46875
East Timor,Aland,0.723817,0.723817,0.528541,0.021928,0.40625
Egypt,Aland,0.664701,0.664701,0.608709,0.066847,0.53125
Equatorial Guinea,Aland,0.699303,0.699303,0.639606,0.056034,0.53125
Eritrea,Aland,0.6913,0.6913,0.553726,0.039239,0.46875
Estonia,Aland,0.648668,0.648668,0.609804,0.028143,0.46875
Finland,Aland,0.87887,0.87887,0.603024,0.016186,0.4375
Florida,Aland,0.715619,0.715619,0.603784,0.099551,0.65625
Georgia,Aland,0.738551,0.738551,0.604158,0.017859,0.5625
Georgia (state),Aland,0.69818,0.69818,0.514854,0.046257,0.5625
Gibraltar,Aland,0.706498,0.706498,0.610948,0.037865,0.5625
Guam,Aland,0.687126,0.687126,0.470149,0.052953,0.46875
Guinea-Bissau,Aland,0.697999,0.697999,0.549476,0.01252,0.53125
Heard Island and McDonald Islands,Aland,0.711753,0.711753,0.511731,0.054898,0.53125
Hong Kong SAR,Aland,0.674073,0.674073,0.29145,0.163996,0.5
Iceland,Aland,0.899852,0.899852,0.398446,0.019725,0.65625
India,Aland,0.661368,0.661368,0.543797,0.039169,0.625
Indiana,Aland,0.589505,0.589505,0.298042,0.075504,0.53125
Iran,Aland,0.59578,0.59578,0.591254,0.19561,0.46875
Ireland,Aland,0.675545,0.675545,0.59555,0.014492,0.5625
Italy,Aland,0.712645,0.712645,0.549484,0.017294,0.609375
Jamaica,Aland,0.735392,0.735392,0.664386,0.034446,0.4375
Japan,Aland,0.692844,0.692844,0.626217,0.037217,0.5
Kansas,Aland,0.639798,0.639798,0.395906,0.061942,0.4375
Kazakhstan,Aland,0.752511,0.752511,0.469397,0.035757,0.59375
Kenya,Aland,0.601582,0.601582,0.574328,0.198257,0.65625
Kosovo,Aland,0.750587,0.750587,0.568148,0.121886,0.46875
Kuwait,Aland,0.70247,0.70247,0.606523,0.030066,0.46875
Kyrgyzstan,Aland,0.721458,0.721458,0.389888,0.081443,0.65625
Latvia,Aland,0.830545,0.830545,0.523985,0.022999,0.5
Lebanon,Aland,0.691903,0.691903,0.554679,0.045675,0.4375
Lesotho,Aland,0.655136,0.655136,0.571174,0.111108,0.4375
Liberia,Aland,0.72209,0.72209,0.592188,0.047047,0.625
Libya,Aland,0.613536,0.613536,0.614427,0,0.5625
Louisiana,Aland,0.660657,0.660657,0.934137,0.077968,0.40625
Luxembourg,Aland,0.760758,0.760758,0.571466,0.181344,0.46875
Madagascar,Aland,0.716528,0.716528,0.551104,0,0.4375
Maldives,Aland,0.71799,0.71799,0.519757,0.034805,0.515625
Marshall Islands,Aland,0.786894,0.786894,0.508213,0.032406,0.53125
Mauritania,Aland,0.742823,0.742823,0.379609,0.046206,0.5
Mauritius,Aland,0.706493,0.706493,0.544745,0.02983,0.484375
Michigan,Aland,0.663066,0.663066,0.347744,0.118778,0.59375
Minnesota,Aland,0.687126,0.687126,0.398975,0.091144,0.5
Mississippi,Aland,0.693845,0.693845,0.501988,0.068407,0.5625
Moldova,Aland,0.776284,0.776284,0.621593,0.052248,0.59375
Monaco,Aland,0.689889,0.689889,0.525574,0,0.484375
Mongolia,Aland,0.784569,0.784569,0.722909,0.026511,0.4375
Montenegro,Aland,0.734774,0.734774,0.501453,0.064715,0.5
Morocco,Aland,0.686948,0.686948,0.283906,0,0.5625
Myanmar,Aland,0.748097,0.748097,0.592575,0.037533,0.53125
Namibia,Aland,0.75077,0.75077,0.552867,0.047332,0.46875
Nebraska,Aland,0.665339,0.665339,0.427747,0.107082,0.59375
Netherlands,Aland,0.721064,0.721064,0.548477,0,0.5
Nevada,Aland,0.757358,0.757358,0.301776,0.031858,0.5
New Caledonia,Aland,0.677564,0.677564,0.603083,0.063257,0.53125
New Hampshire,Aland,0.714534,0.714534,0.344156,0.114637,0.5
New York,Aland,0.71061,0.71061,0.499499,0.085884,0.5625
North Carolina,Aland,0.649347,0.649347,0.57076,0.015051,0.59375
North Korea,Aland,0.705148,0.705148,0.72515,0.041921,0.46875
Northern Mariana Islands,Aland,0.583583,0.583583,0.913549,0.107554,0.5
Oklahoma,Aland,0.530187,0.530187,0.915165,0.114115,0.46875
Oman,Aland,0.686211,0.686211,0.579383,0.024954,0.59375
Pakistan,Aland,0.689757,0.689757,0.483224,0.085346,0.46875
Palestine,Aland,0.700269,0.700269,0.617383,0.012243,0.5
Paraguay,Aland,0.694378,0.694378,0.584611,0.020096,0.59375
Portugal,Aland,0.707093,0.707093,0.386004,0.075533,0.53125
Qatar,Aland,0.66303,0.66303,0.280384,0.064814,0.5
Republic of the Congo,Aland,0.752194,0.752194,0.413659,0.101099,0.625
Russia,Aland,0.75707,0.75707,0.550719,0.019036,0.5
Saint Pierre and Miquelon,Aland,0.74432,0.74432,0.576219,0.075763,0.5625
San Marino,Aland,0.75916,0.75916,0.549939,0.081533,0.625
Senegal,Aland,0.699835,0.699835,0.412038,0.026977,0.5
Seychelles,Aland,0.814884,0.814884,0.684255,0.042888,0.53125
Sint Maarten,Aland,0.721064,0.721064,0.548477,0,0.5
Solomon Islands,Aland,0.76843,0.76843,0.538575,0.028751,0.5625
Somalia,Aland,0.682023,0.682023,0.308457,0.034155,0.5625
South Carolina,Aland,0.606461,0.606461,0.921293,0.067977,0.5
South Dakota,Aland,0.657275,0.657275,0.383831,0.085653,0.53125
Sri Lanka,Aland,0.702406,0.702406,0.551606,0.038779,0.59375
Suriname,Aland,0.730242,0.730242,0.499513,0.038371,0.5
Switzerland,Aland,0.694033,0.694033,0.14786,0.026477,0.53125
Syria,Aland,0.650242,0.650242,0.607272,0,0.625
Tajikistan,Aland,0.749781,0.749781,0.609446,0.0452,0.46875
